Rho,Potential
-5.437718859429715,-0.003183213267111591
-5.427713856928464,-0.0032241892721704608
-5.417708854427214,-0.0032657332745792676
-5.407703851925963,-0.003307852492743535
-5.397698849424713,-0.0033505541736015996
-5.387693846923462,-0.00339384558851705
-5.377688844422211,-0.0034377340288692234
-5.367683841920961,-0.0034822268013250056
-5.35767883941971,-0.0035273312227738023
-5.347673836918459,-0.003573054614906945
-5.337668834417209,-0.003619404298421671
-5.327663831915958,-0.003666387586828669
-5.317658829414707,-0.0037140117798411813
-5.307653826913457,-0.003762284156322483
-5.297648824412207,-0.0038112119667671534
-5.287643821910955,-0.003860802425290479
-5.277638819409705,-0.00391106270109871
-5.267633816908455,-0.003961999909411685
-5.257628814407203,-0.0040136211018075305
-5.247623811905953,-0.0040659332559577835
-5.237618809404703,-0.0041189432647194095
-5.2276138069034515,-0.004172657924548437
-5.217608804402201,-0.004227083923198078
-5.207603801900951,-0.004282227826662168
-5.1975987993997,-0.004338096065322597
-5.187593796898449,-0.00439469491925732
-5.177588794397199,-0.004452030502663036
-5.167583791895948,-0.0045101087473442695
-5.157578789394697,-0.004568935385217912
-5.147573786893447,-0.004628515929779507
-5.137568784392196,-0.004688855656474792
-5.127563781890945,-0.004749959581916765
-5.117558779389695,-0.004811832441885398
-5.1075537768884445,-0.004874478668043765
-5.097548774387194,-0.0049379023633006145
-5.087543771885943,-0.005002107275745726
-5.0775387693846925,-0.00506709677108028
-5.067533766883442,-0.005132873803460345
-5.057528764382191,-0.005199440884667027
-5.0475237618809405,-0.005266800051512026
-5.03751875937969,-0.005334952831382633
-5.027513756878439,-0.00540390020582452
-5.017508754377189,-0.005473642572055468
-5.007503751875938,-0.0055441797022971325
-4.997498749374688,-0.005615510700805704
-4.987493746873437,-0.0056876339584758
-4.977488744372186,-0.0057605471048850195
-4.967483741870936,-0.005834246957639245
-4.957478739369685,-0.005908729468870879
-4.947473736868434,-0.005983989668734277
-4.937468734367184,-0.00606002160573375
-4.927463731865933,-0.006136818283710488
-4.917458729364682,-0.0062143715953049085
-4.907453726863432,-0.006292672251701035
-4.897448724362182,-0.006371709708448203
-4.88744372186093,-0.00645147208714441
-4.87743871935968,-0.0065319460927531344
-4.86743371685843,-0.00661311692631298
-4.857428714357178,-0.006694968192785621
-4.847423711855928,-0.006777481803773344
-4.837418709354678,-0.0068606378748224586
-4.827413706853427,-0.006944414617012322
-4.817408704352176,-0.0070287882225132745
-4.807403701850926,-0.0071137327437783265
-4.797398699349675,-0.007199219966014721
-4.787393696848424,-0.007285219272561018
-4.777388694347174,-0.007371697502774165
-4.767383691845923,-0.007458618802008463
-4.757378689344672,-0.007545944463244039
-4.747373686843422,-0.007633632759897335
-4.737368684342171,-0.007721638769319283
-4.727363681840921,-0.00780991418645786
-4.71735867933967,-0.007898407127132134
-4.707353676838419,-0.007987061920332337
-4.697348674337169,-0.008075818888927087
-4.687343671835918,-0.00816461411812235
-4.6773386693346675,-0.008253379210979036
-4.667333666833417,-0.008342041030255556
-4.657328664332166,-0.00843052142579865
-4.6473236618309155,-0.008518736946660409
-4.637318659329665,-0.008606598537071297
-4.627313656828415,-0.008694011215347467
-4.6173086543271635,-0.008780873734756714
-4.607303651825913,-0.008867078225309482
-4.597298649324663,-0.008952509815380474
-4.587293646823412,-0.009037046232001219
-4.577288644322161,-0.00912055737859517
-4.567283641820911,-0.00920290488885393
-4.55727863931966,-0.009283941655375097
-4.547273636818409,-0.00936351133160018
-4.537268634317159,-0.009441447805503244
-4.5272636318159085,-0.00951757464338771
-4.517258629314657,-0.009591704502050264
-4.507253626813407,-0.00966363850746539
-4.4972486243121566,-0.009733165598032906
-4.487243621810905,-0.009800061830311641
-4.477238619309655,-0.009864089645036926
-4.467233616808405,-0.009924997091085259
-4.457228614307153,-0.009982517004906929
-4.447223611805903,-0.010036366142796143
-4.437218609304653,-0.010086244263206898
-4.427213606803402,-0.010131833156151493
-4.417208604302151,-0.010172795616536357
-4.407203601800901,-0.010208774358095904
-4.39719859929965,-0.010239390864378818
-4.387193596798399,-0.010264244173021525
-4.377188594297149,-0.010282909589310043
-4.367183591795898,-0.010294937324782547
-4.357178589294647,-0.010299851056360264
-4.347173586793397,-0.010297146401212294
-4.337168584292146,-0.010286289302259877
-4.327163581790896,-0.010266714318905749
-4.317158579289645,-0.01023782281723373
-4.307153576788394,-0.010198981053560981
-4.297148574287144,-0.010149518144838854
-4.287143571785893,-0.010088723918986199
-4.277138569284642,-0.010015846637800627
-4.267133566783392,-0.009930090584624789
-4.257128564282141,-0.009830613508446736
-4.2471235617808905,-0.009716523915581374
-4.23711855927964,-0.009586878199513616
-4.22711355677839,-0.009440677598879054
-4.2171085542771385,-0.009276864972913702
-4.207103551775888,-0.009094321383016685
-4.197098549274638,-0.00889186246833593
-4.1870935467733865,-0.008668234602505149
-4.177088544272136,-0.008422110817824553
-4.167083541770886,-0.008152086482286812
-4.1570785392696346,-0.007856674713899139
-4.147073536768384,-0.007534301515736421
-4.137068534267134,-0.007183300614076693
-4.1270635317658835,-0.006801907980813252
-4.117058529264632,-0.006388256020101105
-4.107053526763382,-0.005940367397877059
-4.0970485242621315,-0.00545614849148076
-4.08704352176088,-0.004933382435101038
-4.07703851925963,-0.004369721735160801
-4.0670335167583795,-0.003762680428035237
-4.057028514257128,-0.0031096257506625343
-4.047023511755878,-0.0024077692926417985
-4.037018509254628,-0.0016541575963144079
-4.027013506753377,-0.0008456621690840218
-4.017008504252126,2.1031130169525413e-05
-4.007003501750876,0.0009494333712896292
-3.9969984992496252,0.0019432645431055723
-3.986993496748374,0.0030064663001371107
-3.9769884942471236,0.004143215515259535
-3.9669834917458733,0.0053579386911985355
-3.956978489244623,0.006655327287311767
-3.9469734867433717,0.008040354021955076
-3.9369684842421213,0.009518290214833554
-3.926963481740871,0.011094724238137699
-3.9169584792396197,0.012775581149962108
-3.9069534767383693,0.014567143588538625
-3.896948474237119,0.0164760740112045
-3.8869434717358677,0.018509438367789236
-3.8769384692346174,0.020674731304274
-3.866933466733367,0.02297990299919387
-3.8569284642321167,0.025433387742313688
-3.8469234617308654,0.02804413437269609
-3.836918459229615,0.03082163870138183
-3.8269134567283647,0.03377597805259279
-3.8169084542271134,0.03691784806666655
-3.806903451725863,0.04025860191789139
-3.7968984492246127,0.04381029211108495
-3.7868934467233615,0.047585715032177296
-3.776888444222111,0.051598458440303245
-3.7668834417208608,0.055862952102024244
-3.7568784392196104,0.060394521782327806
-3.746873436718359,0.0652094468221117
-3.736868434217109,0.07032502154796147
-3.7268634317158584,0.07575962077730464
-3.716858429214607,0.08153276970050473
-3.706853426713357,0.08766521844127521
-3.6968484242121065,0.09417902161802046
-3.686843421710855,0.10109762325143279
-3.676838419209605,0.10844594738803282
-3.6668334167083545,0.11625049483544034
-3.656828414207104,0.12453944643307999
-3.646823411705853,0.13334277331198885
-3.6368184092046025,0.14269235462942378
-3.626813406703352,0.15262210329833603
-3.616808404202101,0.16316810026851347
-3.6068034017008506,0.17436873795560673
-3.5967983991996,0.1862648734564139
-3.586793396698349,0.19889999223392546
-3.5767883941970986,0.21232038300399778
-3.5667833916958482,0.22657532460725574
-3.556778389194598,0.24171728570518952
-3.5467733866933466,0.2578021381987017
-3.5367683841920963,0.27488938533076385
-3.526763381690846,0.2930424055027007
-3.5167583791895947,0.3123287129061846
-3.5067533766883443,0.3328202361506271
-3.496748374187094,0.35459361614869106
-3.4867433716858427,0.3777305246112857
-3.4767383691845923,0.4023180045982684
-3.466733366683342,0.42844883467240313
-3.4567283641820916,0.4562219183122211
-3.4467233616808404,0.4857427003551318
-3.43671835917959,0.5171236123653291
